Title,Desc,BodyPart,Equipment,Level
Squat,The squat is a compound full-body exercise that trains primarily the muscles of the thighs hips and buttocks.,Quads,Barbell,Intermediate
Bench Press,The bench press is an upper-body weight training exercise in which the trainee presses a weight upwards while lying on a weight training bench.,Chest,Barbell,Intermediate
Deadlift,The deadlift is a weight training exercise in which a loaded barbell or bar is lifted off the ground to the level of the hips then lowered back to the ground.,Back,Barbell,Advanced
Bicep Curl,A bicep curl is any of a number of weight training exercises that focus on the biceps brachii muscle.,Arms,Dumbbell,Beginner
Plank,The plank is an abdominal exercise that builds core strength and stability.,Core,Bodyweight,Beginner
Push Up,A push-up is a common calisthenics exercise beginning from the prone position.,Chest,Bodyweight,Beginner
Leg Press,The leg press is a compound weight training exercise in which the individual pushes a weight or resistance away from them using their legs.,Quads,Machine,Intermediate
Shoulder Press,The overhead press is a compound vertical pushing exercise.,Shoulders,Dumbbell,Beginner
Lunge,Lunges are a popular strength training exercise for the lower body.,Quads,Dumbbell,Beginner
Pull Up,The pull-up is an upper-body strength exercise.,Back,Bodyweight,Advanced
